device_id,visit_id,venue_id,visit_start_time,visit_end_time,visit_lat,visit_long,  visit_weight  ,customer_weight,user_home_lat,user_home_long,user_work_lat,user_work_long
5a4f1659b96e1e05480c5992,5a733af7814bbc0cacd04aae,b11c324e9d8022ba2a8e6488,2/1/18 5:19,2/1/18 6:15,34.08391571,-84.53923798, 42 ,107.4818486,34.08669928,-84.6801375,34.03489468,-84.46683727
5a4f1659b96e1e05480c5992,5a80b120c7e81e06c9fc90b3,b11c324e9d8022ba2a8e6488,2/11/18 8:35,2/11/18 10:16,34.083594,-84.5390711, 43 ,107.4818486,34.08631917,-84.68297348,34.03339432,-84.46796506
5a4f1659b96e1e05480c5992,5a83811fa42aab42f02e3900,b11c324e9d8022ba2a8e6488,2/13/18 5:04,2/13/18 6:25,34.0836536,-84.5388822, 43 ,107.4818486,34.08497505,-84.68013529,34.03451442,-84.46698294
5a4f1659b96e1e05480c5992,5a8965800f1da906af45f4fd,b11c324e9d8022ba2a8e6488,2/17/18 17:32,2/17/18 18:45,34.0838411,-84.5390429, 40 ,107.4818486,34.08511142,-84.68094091,34.03485142,-84.46851438
5a4f1659b96e1e05480c5992,5a8ce96cce48dc0b5986813f,b11c324e9d8022ba2a8e6488,2/20/18 15:23,2/20/18 16:59,34.083607,-84.5390507, 42 ,107.4818486,34.08541926,-84.68294601,34.03614227,-84.46634498
5a4f1659b96e1e05480c5992,5a9534d79355150acf9ac39c,b11c324e9d8022ba2a8e6488,2/26/18 18:05,2/26/18 19:17,34.0834675,-84.5396165, 41 ,107.4818486,34.08477151,-84.68249248,34.03545408,-84.46813575
5a4f1659b96e1e05480c5992,5a97db17e755d00b65cc23a0,b11c324e9d8022ba2a8e6488,2/28/18 20:24,2/28/18 22:19,34.0837474,-84.5387611, 41 ,107.4818486,34.08528456,-84.68134697,34.03461708,-84.46774333
5a4f1659b96e1e05480c5992,5a9f19e5fae3ed0bbc4144a0,b11c324e9d8022ba2a8e6488,3/6/18 7:38,3/6/18 9:14,34.0836204,-84.5389032, 40 ,107.4818486,34.0857138,-84.68182156,34.0360164,-84.46602299
5a4f1659b96e1e05480c5992,5aa30ddae125ba0b411c0493,b11c324e9d8022ba2a8e6488,3/9/18 8:34,3/9/18 10:23,34.0836378,-84.5392312, 38 ,107.4818486,34.08582307,-84.68042769,34.03608976,-84.46652289
5a4f1659b96e1e05480c5992,5aa615271a05bc4072c46e8b,b11c324e9d8022ba2a8e6488,3/11/18 19:29,3/11/18 20:51,34.083717,-84.5388688, 44 ,107.4818486,34.08505512,-84.68335616,34.03503216,-84.4666049
5a4f1659b96e1e05480c5992,5aa8544de7731f0b825dffc1,b11c324e9d8022ba2a8e6488,3/13/18 12:29,3/13/18 14:24,34.0835026,-84.539319, 40 ,107.4818486,34.08595265,-84.68218879,34.03634128,-84.46688989
